project_name,primary_language,window_starts,window_ends,Events,NLOC,LevD,Tokens,CycC,Functions,Commits,HalEff,TS,N,E,Diam,Dens,ClustC,InD,EigG,FModR
ansible__ansible__2020-06-11_06-06-22,Python,1337773700,1363175300,306.34567901234567,152.8395061728395,11122.913580246914,1446.7654320987654,28.987654320987655,6.7407407407407405,10.950617283950615,1912220.089398645,81,88,3371,5,0.03187042842215256,0.4359478601689714,2.772727272727273,0.03760087537373691,0.37521630573417014
ansible__ansible__2020-06-11_06-06-22,Python,1363175300,1388576900,99.85185185185183,50.46913580246913,3434.456790123457,381.3395061728395,15.08641975308642,3.234567901234568,4.654320987654321,463733.0551573666,162,191,2788,5,0.01069165059244971,0.26357898518011197,2.031413612565445,0.03366696687018955,0.38023768825508
ansible__ansible__2020-06-11_06-06-22,Python,1388576900,1413978500,152.43579766536965,76.15175097276264,5277.3501945525295,504.78210116731515,19.513618677042803,5.346303501945525,4.817120622568093,625973.1647687511,257,353,6629,7,0.00466778264228689,0.2062318030696065,1.6430594900849858,0.03389139109232053,0.30642972434774113
ansible__ansible__2020-06-11_06-06-22,Python,1413978500,1439380100,181.59477124183007,102.66830065359476,6133.323529411765,570.5343137254902,20.973856209150327,4.51797385620915,5.194444444444445,509009.2447651709,612,710,12013,7,0.00207791175827886,0.2280395795558721,1.4732394366197183,0.00364316040270318,0.32026731131315045
ansible__ansible__2020-06-11_06-06-22,Python,1439380100,1464781700,198.44257274119448,112.71209800918837,6714.159264931087,573.2633996937213,20.38897396630934,4.823889739663094,5.765696784073507,519800.4923181677,653,951,16878,9,0.00176545464607891,0.2160533771398101,1.6771819137749735,0.03389943675775986,0.3583707157111012
ansible__ansible__2020-06-11_06-06-22,Python,1464781700,1490183300,326.406711409396,192.51140939597315,10274.804026845635,925.9959731543624,32.55436241610738,8.473825503355705,5.357046979865772,883532.2857533647,745,1256,30015,8,0.00180424797624787,0.2721319490522869,2.264331210191082,0.05262882511423339,0.4094844485436068
ansible__ansible__2020-06-11_06-06-22,Python,1490183300,1515584900,365.47148288973386,206.9556400506971,11511.818757921419,979.2281368821292,31.58808618504436,8.429657794676807,4.980988593155893,711785.6038400532,789,1503,43900,10,0.00148305253673744,0.2785436383362367,2.2275449101796405,0.00201099468684695,0.3374308339828523
ansible__ansible__2020-06-11_06-06-22,Python,1515584900,1540986500,298.5872156013001,193.65980498374864,10044.083423618637,914.6663055254604,29.80931744312026,7.3640303358613215,4.394366197183099,751790.2734296899,923,1487,26999,8,0.00128163237968178,0.2005564333452232,1.9045057162071284,0.01318980187129292,0.3310332912612095
ansible__ansible__2020-06-11_06-06-22,Python,1540986500,1566388100,523.7919075144508,344.3433526011561,17096.94104046243,1416.5826589595376,40.648554913294795,11.078612716763006,5.060115606936416,1375990.6964296517,865,1592,34737,9,0.00120021856611783,0.2184810485959838,1.9095477386934672,0.01505304411636365,0.33063329237835626
ansible__ansible__2020-06-11_06-06-22,Python,1566388100,1591789700,376.0052083333333,249.60416666666663,12508.446180555557,1082.5729166666667,27.944444444444443,8.239583333333334,3.8940972222222223,895953.8612652278,576,1181,18516,9,0.00141434291536904,0.1650666914394911,1.6689246401354785,0.02748684370840082,0.3623859263437784
apache__flink__2020-06-11_13-39-22,Java,1311378453,1336780053,11539.15,4742.05,338896.5,37867.95,925.8,345.65,58.9,26308782.252280287,20,24,16518,3,0.18840579710144925,0.6902507215007215,4.333333333333333,0.0088440229297626,0.1559278995740234
apache__flink__2020-06-11_13-39-22,Java,1336780053,1362181653,12817.363636363636,5780.363636363636,400632.4545454546,44900,1099.7272727272727,433.8181818181818,64.36363636363636,48586607.636146285,11,22,14409,3,0.16666666666666666,0.7053074376603788,3.5,0.09305426550352192,0.1385478947509921
apache__flink__2020-06-11_13-39-22,Java,1362181653,1387583253,4347.9375,1646.4375,132951.1875,15341.125,324.9375,123.5,20.625,9663645.605360128,16,30,9522,3,0.10804597701149424,0.62669688336355,3.1333333333333333,0.1260301848682409,0.24695177463780607
apache__flink__2020-06-11_13-39-22,Java,1387583253,1412984853,7061.2830188679245,3118.0377358490564,224653.9245283019,25961.830188679247,513.377358490566,243.0566037735849,27.641509433962263,16841319.703628644,53,72,71086,4,0.07766040688575901,0.6640224531237569,5.513888888888889,0.03407098936789976,0.20658011354080455
apache__flink__2020-06-11_13-39-22,Java,1412984853,1438386453,4118.095890410959,1906.4383561643835,132254.87671232875,15621.246575342466,283.05479452054794,138.68493150684932,19.84931506849315,12882460.20178829,73,105,38916,4,0.05952380952380953,0.6215726271621076,6.190476190476191,0.06380020120373375,0.22519701087062993
apache__flink__2020-06-11_13-39-22,Java,1438386453,1463788053,2483.548076923077,1202.3846153846157,85102.27884615384,9604.701923076924,162.3846153846154,81.36538461538461,11.64423076923077,6922423.700615706,104,164,35967,6,0.03078707167439772,0.5590594922711758,5.0182926829268295,0.18525564641029757,0.25528980418401376
apache__flink__2020-06-11_13-39-22,Java,1463788053,1489189653,2406.387323943662,1205.43661971831,81239.80281690141,9197.718309859154,148.72535211267606,75.23239436619718,10.626760563380282,10510400.629461244,142,227,45376,6,0.02116876535027874,0.4496482986217437,4.784140969162996,0.14571511627526823,0.22050092894457063
apache__flink__2020-06-11_13-39-22,Java,1489189653,1514591253,3340.0934579439254,1569.2803738317757,110075.95327102803,12278.364485981308,193.85981308411215,101.3177570093458,15.102803738317755,23082779.676720012,107,261,57193,5,0.01903919834954317,0.508680332141903,4.950191570881226,0.1756579270565749,0.21053491463231375
apache__flink__2020-06-11_13-39-22,Java,1514591253,1539992853,2070.644927536232,1067.876811594203,71188.68115942029,8061.760869565217,134.6231884057971,76.8695652173913,13.13768115942029,7318018.682891742,138,273,43427,6,0.01632191338073691,0.4481077545511358,4.43956043956044,0.00503321339944229,0.26813489265749846
apache__flink__2020-06-11_13-39-22,Java,1539992853,1565394453,2469.4010695187167,1355.3048128342243,84546.54010695187,9912.823529411764,185.1016042780749,109.40641711229948,13.20855614973262,8503724.49336782,187,327,55832,6,0.0154687529314647,0.3954462333702893,5.042813455657492,0.05531420583076218,0.26103441062850885
apache__flink__2020-06-11_13-39-22,Java,1565394453,1590796053,2516.3954545454544,1378.0318181818182,89006.58181818182,10598.86818181818,172.5818181818182,103.25,16.272727272727273,6586835.689703267,220,410,83091,6,0.01443735464249508,0.43383084364779734,5.904878048780488,0.04256812234588481,0.30060561460084484
eclipse__birt__2020-06-11_00-34-50,Java,1117700954,1143102554,5992.027027027027,2604.891891891892,156376.35135135136,15539.351351351352,438.5945945945946,148.8918918918919,49.729729729729726,13234593.069828097,37,44,23266,6,0.1501057082452431,0.541412765237702,6.454545454545454,0.05001231093508662,0.10533894785185818
eclipse__birt__2020-06-11_00-34-50,Java,1143102554,1168504154,6279.760869565217,3012.7391304347825,167495.89130434784,18423.82608695652,515.2173913043479,166,66.8913043478261,15179113.774955943,46,60,27327,6,0.11836158192090396,0.6183847980700763,6.983333333333333,0.07144018667512508,0.11039213273003966
