"project","metric","spearman_estimate","spearman_pvalue","lo_90","hi_90","lo_95","hi_95"
"Angular.JS","A",0.397123242303885,0.0297833631486515,-0.0116181956497139,0.660527688136519,-0.135033673693666,0.693490417797481
"Angular.JS","ELA",-0.220041752807104,0.242647327653104,-0.531051783568977,0.114472988736405,-0.56440827831355,0.202946936927154
"Angular.JS","ENA",0.419504153461065,0.0210158668056318,0.163047470926437,0.643882728521567,0.112136877114988,0.682932034522598
"Angular.JS","ILA",-0.0495261642541861,0.79494182649909,-0.296071339294555,0.219572444693917,-0.356433828594282,0.30461651711157
"Angular.JS","INA",-0.0599205444062993,0.753114419883352,-0.390986385338933,0.296042865140353,-0.437123237864821,0.37792516112827
"Angular.JS","StA",0.62378752886836,0.000230391208812891,0.250387906794536,0.802755364125931,0.160032111736606,0.828227967839754
"Ansible","A",0.326988515461125,0.171793869163835,-0.230980948525391,0.688395994592144,-0.327710405694959,0.730733983929477
"Ansible","ELA",0.277869732996591,0.24938624438262,-0.191248019102173,0.644057071599968,-0.286999064234055,0.71894602546903
"Ansible","ENA",0.265458470469308,0.272026433122912,-0.144121178710148,0.600328667999136,-0.212747869076645,0.665222024862522
"Ansible","ILA",0.268184041291005,0.266948604656784,-0.218273096338025,0.591344946678194,-0.336982661091712,0.644126709711243
"Ansible","INA",0.319109714636532,0.182968926599791,-0.142384762482151,0.680214085299181,-0.233194091219283,0.731082569051901
"Ansible","StA",0.374868532177688,0.113790013003663,-0.128184640033125,0.69288671460591,-0.216529346580132,0.753550297647203
"Jenkins","A",0.346913997488815,0.0195587626967073,0.0858988190543265,0.601436634646754,0.0138558881548926,0.632547913710139
"Jenkins","ELA",0.226941325882088,0.133830354641513,-0.0254256657054644,0.460080701066687,-0.0666811520789443,0.493225148851438
"Jenkins","ENA",0.537388089412501,0.000140975789193475,0.315779188749848,0.719271893654014,0.265230906188374,0.739507990945547
"Jenkins","ILA",0.132021000080606,0.387315983042375,-0.117594543482441,0.375698459300181,-0.169006301744916,0.417817926818954
"Jenkins","INA",-0.00942494955316451,0.951003504030212,-0.238309817624295,0.251002750904418,-0.283836566953107,0.30167405198971
"Jenkins","StA",0.408265776770952,0.00536734539174199,0.131018777296583,0.602059081609628,0.0816636957217464,0.651828699133978
"JQuery","A",0.580691701728888,0.00292757073103867,0.174423126952897,0.76941599822804,0.0670823422573824,0.798236305693524
"JQuery","ELA",0.0155966237207742,0.942337101560032,-0.327651299703164,0.400993605272472,-0.407997872117641,0.45967835164549
"JQuery","ENA",0.418960730233236,0.0415747503474342,0.0813915982803153,0.665909514335752,0.017965426173126,0.699245496593396
"JQuery","ILA",0.54150614979957,0.00627857222459309,0.218135143632561,0.769688015435835,0.153814501936073,0.805414817509462
"JQuery","INA",0.369855945408861,0.0752586488773747,-0.00855395469909544,0.635820689174754,-0.142806713158952,0.672113587946555
"JQuery","StA",0.569627836302647,0.00366572964887929,0.225042140594198,0.815936315668327,0.140831823995786,0.845291267129849
"Rails","A",0.308221398932032,0.0196707774081597,0.0921109314103045,0.520212007051507,0.0311157351219077,0.547866566040091
"Rails","ELA",0.0456360986230326,0.736050990890369,-0.146885676861357,0.286888800870452,-0.184709302695071,0.329361419757976
"Rails","ENA",0.367133529645336,0.0049662362881,0.137375051999332,0.555705317586559,0.107438472481438,0.581171728562188
"Rails","ILA",0.0347894555969165,0.797245654131027,-0.173264610840206,0.258231118295987,-0.21370299857865,0.304524268834334
"Rails","INA",0.290275837194981,0.0284965872403807,0.0625004211908248,0.50188469566743,-0.00653107788829721,0.529745517080809
"Rails","StA",0.384332352266982,0.00316093278758966,0.205967727705749,0.559652076758056,0.160202537029646,0.584598812225638
